Africana Center,http://ase.tufts.edu/africana/,Group of Six
Asian American Center,http://ase.tufts.edu/asianam/,Group of Six
International Center,http://ase.tufts.edu/icenter/,Group of Six
Latino Center,http://ase.tufts.edu/latinocenter/,Group of Six
LGBT Center,http://ase.tufts.edu/lgbt/,Group of Six
Women's Center,http://ase.tufts.edu/womenscenter/,Group of Six
Computer Hardware and Software Discounts,https://student.support.tufts.edu/discounts,Merchandise
Alumni Association,http://tuftsalumni.org/connect-with-alumni/students-and-the-tufts-alumni-association/,Student Services
Campus Life,http://ocl.tufts.edu/,Student Services
Crafts Center,http://www.tuftscrafts.com/,Student Services
Dean of Student Affairs,http://uss.tufts.edu/studentaffairs/,Student Services
Dining Services,http://dining.tufts.edu/,Student Services
Eco Off-Campus,http://www.ecooffcampus.com/,Student Services
Facilities Request (On Campus),https://fsrequest.tufts.edu/WebMaint/,Student Services
Greek Life,http://uss.tufts.edu/greek/,Student Services
Residential Life,http://ase.tufts.edu/reslife/,Student Services
Sexual Misconduct Resources,http://uss.tufts.edu/studentaffairs/handbook/campus/sexualassault.asp,Student Services
Student Employment,http://uss.tufts.edu/stuemp/,Student Services
Student Handbook,http://uss.tufts.edu/studentaffairs/handbook/,Student Services
Tufts Online,https://student.support.tufts.edu/,Student Services
Tufts Student Resources,http://www.tuftsstudentresources.com/,Student Services
TUPD,http://publicsafety.tufts.edu/police/,Student Services
University Chaplaincy,http://www.tufts.edu/chaplaincy/,Student Services
Film Series,http://www.tuftsfilmseries.com/,Campus Media
Fletcher Ledger,http://www.fletcherledger.com/,Campus Media
JumboCast,http://www.jumbocast.net/,Campus Media
On-Campus Cable Channels,http://www.campustelevideo.com/studentservices/tuftsuniversity.asp,Campus Media
The Primary Source,http://primarysource.typepad.com/,Campus Media
The Tufts Daily,http://www.tuftsdaily.com/,Campus Media
Tufts Now,http://now.tufts.edu/,Campus Media
Tufts Roundtable,http://tuftsroundtable.org/,Campus Media
TuftScope,http://www.tuftscopejournal.org/,Campus Media
Perseus Project,http://perseus.tufts.edu/,Academic Resources
Block Schedule,http://uss.tufts.edu/registrar/Forms/Block_Schedule.pdf,Online Services
Degree Audit Reporting System,https://degreeaudit.tufts.edu/student/servlet/SignInServlet,Online Services
Dining Services Menus,http://menus.tufts.edu/foodpro/location.asp,Online Services
JobX (Student Employment),https://tufts.studentemployment.ngwebsolutions.com/,Online Services
JumboCash Management,http://www.jumbocash.net/,Online Services
Online Financial Aid System,https://finaid.web.tufts.edu/NetPartnerStudent/,Online Services
Paint the Cannon,http://paintthecannon.com/,Online Services
Parking Services,http://publicsafety.tufts.edu/adminsvc/?pid=23,Online Services
Room Reservations (R25),http://events.studentservices.tufts.edu/wv3,Online Services
Shuttle Schedules,http://publicsafety.tufts.edu/adminsvc/?pid=6,Online Services
SIS Online,https://aseonline.tufts.edu/,Online Services
Spark Web Tools,http://spark.uit.tufts.edu/,Online Services
Trunk,http://trunk.tufts.edu/,Online Services
Tufts Bike Status,"http://library.tufts.edu/search~S1?/ttufts+bikes/ttufts+bikes/1,1,1,B/holdings&FF=ttufts+bikes&1,1,should",Online Services
Tufts Bikes,http://tuftsbikes.wordpress.com/,Online Services
Visual Understanding Environment,http://vue.tufts.edu/,Online Services
Engineering Student Council,http://sites.tufts.edu/esc/,Student Government
TCU Judiciary,http://tcuj.tufts.edu/,Student Government
TCU Portal,http://tcu.tufts.edu/,Student Government
TCU Senate,http://senate.tufts.edu/,Student Government
